TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EALT3;15,68;2,12;13,43;1,96;0,79;25,87;12,86;9,91;10,35;8,91;1,79;0,34;1,33;12,95;-1,38;1,16;14,57;5,86;8,87;0,40;0,60;0,59;11,42;190,50;50.754,27;8,01;1,17;0,20;242.640.000,00
EALT4;7,04;5,20;6,03;0,88;0,35;25,87;12,86;9,91;4,65;8,91;1,79;0,34;0,60;5,82;-0,62;1,16;14,57;5,86;8,87;0,40;0,60;0,59;11,42;190,50;555.431,58;8,01;1,17;0,09;242.640.000,00
ECOR3;12,21;;-16,09;121,42;0,61;41,08;21,64;-10,60;7,88;16,01;8,13;125,34;1,71;-8,88;-0,73;0,69;-754,68;-3,82;4,31;0,01;0,99;0,36;7,89;;58.552.151,69;0,10;-0,76;-0,13;6.821.715.766,80
ECPR3;77,00;;-2,64;0,93;0,52;;;;-3,16;-3,11;0,01;0,00;;349,18;-0,52;1,42;-35,04;-19,57;-29,55;0,56;0,44;0,00;;;7.733,00;83,14;-29,13;-0,01;144.522.337,24
ECPR4;74,96;;-2,57;0,90;0,50;;;;-3,07;-3,11;0,01;0,00;;339,93;-0,51;1,42;-35,04;-19,57;-29,55;0,56;0,44;0,00;;;10.030,67;83,14;-29,13;-0,01;144.522.337,24
EEEL3;493,30;2,90;17,09;1,86;0,85;55,28;42,80;21,01;8,39;8,37;-0,05;-0,01;3,59;4,01;-1,24;3,19;10,91;5,00;13,55;0,46;0,54;0,24;14,95;26,66;100.000,00;264,59;28,87;-0,60;4.781.124.075,81
EEEL4;592,63;4,33;20,53;2,24;1,03;55,28;42,80;21,01;10,08;8,37;-0,05;-0,01;4,31;4,82;-1,49;3,19;10,91;5,00;13,55;0,46;0,54;0,24;14,95;26,66;60.000,00;264,59;28,87;-0,71;4.781.124.075,81
EGIE3;39,90;6,19;11,57;4,02;0,91;45,00;46,31;21,79;5,44;7,79;2,35;1,73;2,52;10,10;-1,14;1,79;34,79;7,83;19,43;0,23;0,77;0,36;13,49;13,25;63.504.355,38;9,91;3,45;0,47;32.555.516.826,00
EKTR3;33,45;8,68;9,85;2,03;0,72;20,19;14,52;9,17;6,22;8,82;3,37;1,10;0,90;14,83;-1,02;1,19;20,66;7,27;10,88;0,35;0,65;0,79;4,01;9,79;8.495,33;16,45;3,40;0,40;5.681.502.814,20
EKTR4;25,60;12,48;7,53;1,56;0,55;20,19;14,52;9,17;4,76;8,82;3,37;1,10;0,69;11,35;-0,78;1,19;20,66;7,27;10,88;0,35;0,65;0,79;4,01;9,79;82.825,23;16,45;3,40;0,30;5.681.502.814,20
ELEK3;19,11;;24,46;2,66;1,07;11,39;2,82;2,53;21,94;38,76;5,75;0,70;0,62;3,75;-2,60;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;11.501,50;7,19;0,78;-0,35;905.051.916,30
ELEK4;36,99;;47,34;5,15;2,07;11,39;2,82;2,53;42,48;38,76;5,75;0,70;1,20;7,26;-5,02;1,94;10,87;4,36;4,38;0,40;0,60;1,72;1,48;;52.244,08;7,19;0,78;-0,68;905.051.916,30
ELET3;37,14;10,78;9,19;0,79;0,33;72,63;29,66;21,80;6,76;10,28;3,50;0,41;2,00;3,10;-0,44;1,71;8,59;3,54;6,62;0,41;0,59;0,16;-2,25;;199.225.113,12;47,01;4,04;-0,23;58.536.177.895,70
ELET5;67,20;8,05;16,63;1,43;0,59;72,63;29,66;21,80;12,23;10,28;3,50;0,41;3,63;5,61;-0,79;1,71;8,59;3,54;6,62;0,41;0,59;0,16;-2,25;;66.339,44;47,01;4,04;-0,41;58.536.177.895,70
ELET6;38,09;11,56;9,43;0,81;0,33;72,63;29,66;21,80;6,93;10,28;3,50;0,41;2,06;3,18;-0,45;1,71;8,59;3,54;6,62;0,41;0,59;0,16;-2,25;;81.708.563,04;47,01;4,04;-0,23;58.536.177.895,70
